Time (s),CBF Array[0],CBF Array[1]
0.025224661,0.0,0.0
0.033329794,0.0,0.0
0.043665668,0.0,0.0
0.05377147,0.0,0.0
0.06380304,0.0,0.0
0.073755514,0.0,0.0
0.083532551,0.0,0.0
0.093426032,0.0,0.0
0.10419869,0.0,0.0
0.113352462,0.0,0.0
0.123753967,0.0,0.0
0.133794813,0.0,0.0
0.143958403,0.0,0.0
0.153417115,0.0,0.0
0.163673272,0.0,0.0
0.173472808,0.0,0.0
0.183611864,0.0,0.0
0.193473082,0.0,0.0
0.203354808,0.0,0.0
0.213304269,0.0,0.0
0.22372187,0.0,0.0
0.23364244,0.0,0.0
0.243499175,0.0,0.0
0.253483239,0.0,0.0
0.263955555,0.0,0.0
0.273375569,0.0,0.0
0.283701207,0.0,0.0
0.293281986,0.0,0.0
0.303403962,0.0,0.0
0.313322252,0.0,0.0
0.323654989,0.0,0.0
0.333271777,0.0,0.0
0.343419004,0.0,0.0
0.353319878,0.0,0.0
0.363711457,0.0,0.0
0.373540091,0.0,0.0
0.383724443,0.0,0.0
0.393502075,0.0,0.0
0.403635114,0.0,0.0
0.413210838,0.0,0.0
0.423958322,0.0,0.0
0.433531079,0.0,0.0
0.444286452,0.0,0.0
0.453340713,0.0,0.0
0.46345503,0.0,0.0
0.473262152,0.0,0.0
0.483568594,0.0,0.0
0.493430243,0.0,0.0
0.514633276,277.9105435003655,-2.220446049250313e-16
0.523791972,277.9105435003655,0.0
0.533341005,277.9105435003655,-2.220446049250313e-16
0.543781206,277.9105435003655,-2.220446049250313e-16
0.553904685,277.9105435003655,0.0
0.56416309,277.9105435003655,-2.220446049250313e-16
0.573383426,277.9105435003655,-2.220446049250313e-16
0.583916552,277.9105435003655,-2.220446049250313e-16
0.593438854,277.9105435003655,-2.220446049250313e-16
0.603623944,277.9105435003655,-2.220446049250313e-16
0.613424757,277.9105435003655,-2.220446049250313e-16
0.623485314,277.9105435003655,-2.220446049250313e-16
0.633310957,277.9105435003655,-2.220446049250313e-16
0.643641235,277.9105435003655,-2.220446049250313e-16
0.653371604,277.9105435003655,-2.220446049250313e-16
0.663578415,277.9105435003655,-2.220446049250313e-16
0.673389661,277.9105435003655,-2.220446049250313e-16
0.683702675,277.9105435003655,-2.220446049250313e-16
0.693669862,277.9105435003655,-2.220446049250313e-16
0.703768586,277.9105435003655,-2.220446049250313e-16
0.715007816,277.9105435003655,-2.220446049250313e-16
0.728107325,277.9105435003655,-2.220446049250313e-16
0.737467467,277.9105435003655,-2.220446049250313e-16
0.745336474,277.9105435003655,-2.220446049250313e-16
0.756997306,277.9105435003655,-2.220446049250313e-16
0.767154057,277.9105435003655,-2.220446049250313e-16
0.780931503,277.9105435003655,-2.220446049250313e-16
0.783694081,277.9105435003655,-2.220446049250313e-16
0.793826727,277.9105435003655,-2.220446049250313e-16
0.809296571,277.9105435003655,-2.220446049250313e-16
0.813826512,277.9105435003655,-2.220446049250313e-16
0.823859746,277.9105435003655,-2.220446049250313e-16
0.833629372,277.9105435003655,-2.220446049250313e-16
0.843711282,277.9105435003655,-2.220446049250313e-16
0.853348053,277.9105435003655,-2.220446049250313e-16
0.863640355,277.9105435003655,-2.220446049250313e-16
0.873448638,277.9105435003655,-2.220446049250313e-16
0.883909426,277.9105435003655,-2.220446049250313e-16
0.893661191,277.9105435003655,-2.220446049250313e-16
0.904265985,277.9105435003655,-2.220446049250313e-16
0.913372695,277.9105435003655,-2.220446049250313e-16
0.923826203,277.9105435003655,-2.220446049250313e-16
0.933345325,277.9105435003655,-2.220446049250313e-16
0.943887348,277.9105435003655,-2.220446049250313e-16
0.953657283,277.9105435003655,-2.220446049250313e-16
0.963751457,277.9105435003655,-2.220446049250313e-16
0.973720107,277.9105435003655,-2.220446049250313e-16
0.983752143,277.9105435003655,-2.220446049250313e-16
0.993511498,277.9105435003655,-2.220446049250313e-16
1.238411932,277.9105435003655,-2.220446049250313e-16
1.244148877,277.91056136270794,-2.220446049250313e-16
1.253850281,277.91057914083274,2.220446049250313e-16
1.263845938,277.91059690378347,2.220446049250313e-16
1.273746271,277.91061480645675,-2.220446049250313e-16
1.283738483,277.9106326936022,-2.220446049250313e-16
1.293570196,277.91065029629164,0.0
1.304380315,277.91066825375304,-2.220446049250313e-16
1.314242927,277.91068608599477,0.0
1.324892237,277.9107041424702,2.220446049250313e-16
1.335306552,277.91072179242883,-2.220446049250313e-16
1.344241305,275.04574968406536,-2.220446049250313e-16
1.35366814,275.04576736470733,0.0
1.363886531,275.0457853064267,-2.220446049250313e-16
1.373806238,275.0458030679933,0.0
1.384190009,275.0458211352409,-2.220446049250313e-16
1.393810003,275.045838818809,-2.220446049250313e-16
1.403995787,275.0458567681134,0.0
1.413501008,275.04587457706674,0.0
1.423827228,275.0458925568203,0.0
1.433551998,275.04591048113525,0.0
1.443723888,272.1809078110017,-4.440892098500626e-16
1.45340936,272.1809257846408,-2.220446049250313e-16
1.463775478,272.1809437502215,4.440892098500626e-16
1.473716186,272.18096169659793,-2.220446049250313e-16
1.484019893,272.18097970850425,-2.220446049250313e-16
1.493663521,272.1809975478813,4.440892098500626e-16
1.511062592,272.1810156849633,0.0
1.513813555,272.18103361002363,2.220446049250313e-16
1.523607573,272.1810515007517,-4.440892098500626e-16
1.533607545,272.18106947549677,-2.220446049250313e-16
1.544446699,269.3160665092855,2.220446049250313e-16
1.553581382,269.316084579245,-2.220446049250313e-16
1.563942685,269.3161025582017,-4.440892098500626e-16
1.573448721,269.3161205349795,0.0
1.583840723,269.316138611012,-4.440892098500626e-16
1.593461998,269.31615656322543,-4.440892098500626e-16
1.603721878,269.3161746052707,0.0
1.613821541,269.31619275833606,0.0
1.623872131,269.31621075431343,2.220446049250313e-16
1.633745677,269.3162288385161,0.0
1.643763464,269.3162468886664,0.0
1.653371878,266.45127447138196,2.220446049250313e-16
1.663766266,266.4512925433256,0.0
1.674010362,266.45131071530886,0.0
1.684259811,266.4513287906372,-2.220446049250313e-16
1.693762763,266.4513468352446,-2.220446049250313e-16
1.704058426,266.4513649976718,-2.220446049250313e-16
1.713612347,266.45138312637994,2.220446049250313e-16
1.723478164,266.4514011443718,0.0
1.733806752,266.45141934471286,0.0
1.743965539,266.45143752038183,-2.220446049250313e-16
1.753494984,263.5864656856313,-2.220446049250313e-16
1.763645335,263.58648378898994,0.0
1.773329661,263.58650195807047,-6.661338147750939e-16
1.78420499,263.58652016304274,0.0
1.79358167,263.58653830466767,0.0
1.803573262,263.58655644661076,0.0
1.813710568,263.5865747094742,2.220446049250313e-16
1.823948977,263.5865929736026,4.440892098500626e-16
1.833810302,263.5866112198832,0.0
1.843790352,263.58662935185384,-2.220446049250313e-16
1.853595629,260.7216270921122,-2.220446049250313e-16
1.864083885,260.7216452621326,2.220446049250313e-16
1.873587767,260.721663476789,0.0
1.883523265,260.72168173264515,0.0
1.89336779,260.72169999056894,2.220446049250313e-16
1.903722694,260.7217182784204,0.0
1.913461126,260.72173654264816,-4.440892098500626e-16
1.923643803,260.7217547622979,-2.220446049250313e-16
1.933363684,260.72177305762636,0.0
1.943403298,260.7217913366949,0.0
1.953398997,257.85678867632777,0.0
1.963736112,257.8568069803349,-2.220446049250313e-16
1.973457891,257.8568252802676,2.220446049250313e-16
1.983457184,257.85684358353745,0.0
1.993770657,257.8568619648624,0.0
2.27368902,249.26237677050023,-4.440892098500626e-16
2.283866843,250.50526431942782,-2.220446049250313e-16
2.293723342,250.50527769565048,-2.220446049250313e-16
2.303808927,250.5052911453254,4.440892098500626e-16
2.313961899,250.5053045224102,-2.220446049250313e-16
2.323549466,250.50531791669994,0.0
2.333444213,250.50533137330845,0.0
2.343605965,250.50534481037346,-2.220446049250313e-16
2.353368142,250.50535814786048,0.0
2.363788571,250.5053716155481,0.0
2.373490161,247.64037954969206,2.220446049250313e-16
2.38355656,247.64039298591342,-2.220446049250313e-16
2.393681424,247.64040640413705,-4.440892098500626e-16
2.403789955,247.64041988030505,-2.220446049250313e-16
2.413560104,247.64043332116842,2.220446049250313e-16
2.423840356,247.64044680782854,-2.220446049250313e-16
2.433801702,247.64046024761504,-4.440892098500626e-16
2.443528138,247.6404736757807,4.440892098500626e-16
2.45376472,247.6404871728736,0.0
2.463685739,247.6405005710385,0.0
2.473881984,247.64051410141067,-2.220446049250313e-16
2.48381401,244.77552205121134,-2.220446049250313e-16
2.493702036,244.77553554004032,-2.220446049250313e-16
2.511100615,244.77554903748495,0.0
2.513301098,244.7755624760334,0.0
2.523535121,244.7755759414981,2.220446049250313e-16
2.533886969,244.77558955034772,2.220446049250313e-16
2.544292455,244.7756030134248,-2.220446049250313e-16
2.553627986,244.77561644744003,-2.220446049250313e-16
2.563857577,244.7756299805033,2.220446049250313e-16
2.573711052,244.7756434983688,0.0
2.583866471,244.77565702260324,0.0
2.593633464,241.9106650555334,-2.220446049250313e-16
2.604292195,241.91067854416306,2.220446049250313e-16
2.613704803,241.9106920333372,0.0
2.624080896,241.91070555852735,2.220446049250313e-16
2.633495572,241.91071906008202,2.220446049250313e-16
2.643727966,241.91073262768188,4.440892098500626e-16
2.653401987,241.91074616390355,-2.220446049250313e-16
2.663706845,241.91075971133435,2.220446049250313e-16
2.673631342,241.9107732418839,-2.220446049250313e-16
2.683791368,241.91078680237504,2.220446049250313e-16
2.693471073,241.91080027101057,-2.220446049250313e-16
2.703704702,239.04580832779052,0.0
2.713928355,239.04582205060373,4.440892098500626e-16
2.723587885,239.04583547976458,2.220446049250313e-16
2.733713126,239.04584905076211,-2.220446049250313e-16
2.743486341,239.04586265660728,0.0
2.753388764,239.04587619472306,0.0
2.763554297,239.04588980102787,-2.220446049250313e-16
2.77336047,239.04590336222842,2.220446049250313e-16
2.783769664,239.04591697319754,0.0
2.793749709,239.04593059184978,-4.440892098500626e-16
2.80388295,239.0459441685979,0.0
2.81362465,236.1809522650309,0.0
