# x y u v xphi yphi phi_l0_x phi_l0_x phi_l1_x phi_l1_x phi_l2_x phi_l2_x
120.837966 168.481670 -8.988427 12.008671 120.837965 168.481674 0.917394 -0.397977 0.766508 -0.640688 0.598194 -0.799710
119.504216 170.199369 -9.950174 11.224706 119.504213 170.199375 0.761442 -0.603099 0.693403 -0.719399 0.541390 -0.838740
118.073940 171.594271 -11.583531 9.530048 118.073940 171.594276 0.397977 -0.917394 0.615646 -0.787461 0.477170 -0.875449
116.357637 172.799391 -12.990750 7.499360 116.271143 172.850227 0.397977 -0.917394 0.518214 -0.854298 0.404315 -0.913687
114.470842 173.717793 -13.921914 5.583933 114.470844 173.717785 0.397977 -0.917394 0.421435 -0.905759 0.323000 -0.942393
112.591078 174.382519 -14.335502 4.415131 112.591076 174.382515 0.397977 -0.917394 0.318935 -0.946483 0.240442 -0.968655
110.680065 174.918846 -14.541435 3.680581 110.776110 174.894218 0.397977 -0.917394 0.216748 -0.974662 0.155703 -0.983896
108.418394 175.323403 -14.949789 1.226301 108.418398 175.323410 0.088690 -0.990491 0.081119 -0.995602 0.044946 -0.997352
106.421381 175.345285 -14.968526 -0.971200 106.421385 175.345287 0.000000 -0.999999 -0.034879 -0.998252 -0.050221 -0.994257
104.440427 175.080323 -14.671768 -3.120772 104.440422 175.080318 -0.316058 -0.943767 -0.150386 -0.987417 -0.147361 -0.987112
102.045376 174.373437 -13.978791 -5.439982 101.951981 174.337749 -0.397977 -0.917394 -0.296178 -0.954930 -0.268612 -0.958255
100.222923 173.553934 -13.343295 -6.852479 100.222921 173.553925 -0.397977 -0.917394 -0.397491 -0.916748 -0.358280 -0.932112
98.477087 172.585067 -12.878826 -7.689983 98.477087 172.585068 -0.397977 -0.917394 -0.499078 -0.865086 -0.441086 -0.893138
96.616384 171.421467 -12.561477 -8.198127 96.535435 171.368790 -0.397977 -0.917394 -0.608151 -0.792048 -0.537132 -0.840652
94.967204 170.306253 -12.087568 -8.882043 94.967203 170.306244 -0.620324 -0.762362 -0.688915 -0.723168 -0.607080 -0.790712
93.407336 169.055365 -11.238845 -9.934202 93.407335 169.055367 -0.917394 -0.397977 -0.764181 -0.642995 -0.673325 -0.734758
91.822348 167.531372 -10.309337 -10.895759 91.891851 167.603703 -0.917394 -0.397977 -0.830406 -0.556078 -0.739456 -0.672199
90.498564 166.032463 -9.488757 -11.617379 90.498562 166.032467 -0.917394 -0.397977 -0.881957 -0.470687 -0.789537 -0.609096
89.282841 164.445580 -8.704518 -12.216029 89.340858 164.526463 -0.917394 -0.397977 -0.917877 -0.395074 -0.831470 -0.552077
88.114766 162.699945 -7.926493 -12.734626 88.114767 162.699947 -0.917394 -0.397977 -0.949352 -0.312226 -0.873693 -0.483724
87.052664 160.888566 -7.200303 -13.158862 87.052660 160.888557 -0.924067 -0.377250 -0.970178 -0.239808 -0.904099 -0.424141
86.133179 159.113431 -6.559720 -13.489628 86.133175 159.113426 -0.997421 -0.024045 -0.984020 -0.175245 -0.927868 -0.369202
85.295019 157.296530 -5.966193 -13.762432 85.295019 157.296524 -0.999999 -0.000000 -0.992759 -0.116989 -0.947368 -0.315749
84.425728 155.168134 -5.342567 -14.016311 84.425726 155.168133 -0.927462 0.366704 -0.998041 -0.057779 -0.965496 -0.257488
83.744379 153.288082 -4.848777 -14.194695 83.744383 153.288078 -0.987552 0.125488 -0.999718 -0.014084 -0.976695 -0.210811
83.125782 151.385397 -4.397000 -14.341073 83.125782 151.385403 -0.999999 -0.000000 -0.999661 0.021684 -0.985321 -0.168046
82.565052 149.465578 -3.984909 -14.460999 82.565050 149.465580 -0.999999 -0.000000 -0.998714 0.049655 -0.990966 -0.128616
82.057461 147.532037 -3.610089 -14.559095 82.057457 147.532043 -0.949252 0.299018 -0.997505 0.070267 -0.995544 -0.091213
